,iid,gender,age,wave,field,race,imprace,imprelig,goal,date,go_out,career,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,attr1_s,sinc1_s,intel1_s,fun1_s,amb1_s,attr3_s,sinc3_s,intel3_s,fun3_s,amb3_s,attr_o,sinc_o,intel_o,fun_o,amb_o,age_o,like_o,match,dec_o,attr,sinc,intel,fun,amb,like,match_es,dec,you_call,them_cal
16,17,M,30.0,1,political science,Caucasian,1.0,1.0,Get a date,3.0,2.0,academics or journalism,8.0,2.0,9.0,7.0,7.0,5.0,4.0,2.0,6.0,4.0,2.0,7.0,9.0,7.0,7.0,2.0,2.0,2.0,35.0,15.0,25.0,10.0,5.0,,,,,,,25.0,20.0,20.0,20.0,10.0,5.0,7.0,7.0,8.0,6.0,4.0,,,,,,,,,,,,,,,,6.7,7.6,8.5,6.1,6.7,23.6,6.9,1,8,5.6,5.0,5.4,4.5,5.4,4.0,1.0,2,1.0,1.0
17,18,M,27.0,1,Business,Caucasian,8.0,8.0,Fun,6.0,1.0,Financial Services,5.0,5.0,5.0,9.0,4.0,3.0,4.0,4.0,2.0,6.0,9.0,3.0,9.0,3.0,6.0,2.0,1.0,2.0,33.33,11.11,11.11,11.11,11.11,,,,,,,10.0,10.0,20.0,25.0,25.0,10.0,6.0,8.0,8.0,6.0,9.0,,,,,,,,,,,,,,,,5.1,7.4,7.7,5.2,7.5,23.6,5.8,1,3,6.4,6.6,6.7,6.3,6.6,6.7,2.0,3,1.0,0.0
18,19,M,28.0,1,money,Caucasian,1.0,1.0,Relationship,1.0,1.0,ceo,10.0,10.0,10.0,10.0,5.0,5.0,6.0,7.0,9.0,8.0,1.0,1.0,7.0,7.0,7.0,7.0,10.0,20.0,50.0,0.0,25.0,10.0,0.0,,,,,,,40.0,15.0,20.0,10.0,10.0,5.0,10.0,6.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,7.7,6.8,7.7,8.5,7.1,23.6,7.6,9,9,7.0,7.0,7.6,8.3,7.6,7.25,,10,,
19,20,M,24.0,1,Finance,Caucasian,1.0,1.0,Fun,1.0,1.0,CEO,10.0,10.0,10.0,10.0,9.0,9.0,4.0,10.0,10.0,8.0,3.0,8.0,8.0,6.0,6.0,5.0,10.0,19.0,100.0,0.0,0.0,0.0,0.0,,,,,,,50.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,7.5,7.3,7.9,8.2,8.4,23.6,8.3,1,9,6.0,7.3,7.5,6.5,7.9,6.2,1.0,1,,
20,21,F,21.0,2,Operations Research,Asian,8.0,10.0,Other,7.0,4.0,Undecided,10.0,8.0,10.0,5.0,5.0,5.0,2.0,1.0,3.0,7.0,10.0,4.0,7.0,4.0,8.0,5.0,2.0,0.0,12.0,18.0,20.0,16.0,16.0,,,,,,,35.0,15.0,10.0,15.0,5.0,20.0,5.0,9.0,9.0,7.0,10.0,,,,,,,,,,,,,,,,5.0625,7.3125,7.75,5.666666666666667,6.666666666666667,25.4375,5.875,0,3,6.0625,7.6875,7.625,6.125,7.375,6.5,0.0,2,0.0,0.0
21,22,F,27.0,2,TC (Health Ed),African American,1.0,2.0,Fun,6.0,2.0,Informatics,1.0,2.0,2.0,8.0,8.0,8.0,1.0,2.0,6.0,8.0,8.0,8.0,9.0,7.0,7.0,8.0,8.0,2.0,20.0,20.0,20.0,10.0,10.0,,,,,,,50.0,10.0,10.0,10.0,10.0,10.0,7.0,8.0,8.0,7.0,7.0,,,,,,,,,,,,,,,,4.8,6.625,6.5,5.5,6.071428571428571,25.4375,5.0625,2,3,5.3125,6.5625,6.75,5.6875,6.3125,5.0625,2.0,7,0.0,0.0
22,23,F,21.0,2,Psychology,Asian,9.0,6.0,Fun,1.0,1.0,psychologist,2.0,2.0,3.0,9.0,7.0,6.0,6.0,7.0,7.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,3.0,3.0,10.0,20.0,40.0,10.0,10.0,,,,,,,40.0,5.0,20.0,20.0,5.0,10.0,5.0,8.0,7.0,6.0,8.0,,,,,,,,,,,,,,,,5.9375,7.266666666666667,6.9375,6.25,6.4,25.4375,5.8125,3,6,6.0,6.6,6.533333333333333,6.333333333333333,6.066666666666666,6.833333333333333,3.0,8,0.0,0.0
23,24,F,27.0,2,social work,Caucasian,2.0,3.0,Meet people,6.0,4.0,health/nutrition oriented social worker,10.0,1.0,10.0,9.0,6.0,6.0,10.0,6.0,3.0,6.0,1.0,6.0,9.0,8.0,8.0,6.0,7.0,3.0,10.0,20.0,20.0,15.0,20.0,,,,,,,35.0,10.0,15.0,20.0,10.0,10.0,7.0,9.0,8.0,9.0,8.0,,,,,,,,,,,,,,,,6.5,6.933333333333334,7.333333333333333,6.625,6.714285714285714,25.4375,5.90625,0,8,6.375,7.384615384615385,7.444444444444445,7.416666666666667,7.7,7.0625,1.0,2,,
24,25,F,25.0,2,Social Work,Caucasian,10.0,2.0,Fun,5.0,2.0,Social Worker,7.0,4.0,7.0,7.0,6.0,3.0,5.0,6.0,8.0,9.0,9.0,7.0,10.0,6.0,8.0,8.0,4.0,4.0,20.0,20.0,15.0,15.0,15.0,,,,,,,30.0,15.0,10.0,20.0,10.0,15.0,7.0,9.0,8.0,7.0,6.0,,,,,,,,,,,,,,,,7.6875,7.266666666666667,6.933333333333334,7.333333333333333,6.0,25.4375,6.84375,0,14,6.125,7.1875,8.3125,6.625,8.8125,6.6875,0.0,0,0.0,0.0
25,26,F,23.0,2,Social Work,Caucasian,2.0,4.0,Fun,5.0,2.0,Social work with children,9.0,4.0,9.0,7.0,7.0,4.0,6.0,5.0,7.0,5.0,3.0,9.0,9.0,6.0,4.0,5.0,1.0,10.0,20.0,20.0,20.0,15.0,15.0,,,,,,,25.0,10.0,10.0,25.0,20.0,10.0,7.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,7.625,7.133333333333334,7.266666666666667,7.466666666666667,6.5,25.4375,7.15625,0,15,4.0625,6.375,6.125,4.4375,5.875,4.1875,0.0,0,,
26,27,F,22.0,2,Speech Language Pathology,Hispanic,1.0,5.0,Fun,6.0,2.0,Speech Language Pathologist,7.0,6.0,8.0,8.0,7.0,6.0,8.0,7.0,8.0,8.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,4.0,17.0,10.0,18.0,20.0,25.0,,,,,,,30.0,5.0,15.0,20.0,10.0,20.0,6.0,6.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,8.1875,7.4,6.866666666666666,7.5625,6.571428571428571,25.4375,7.53125,2,15,2.9375,4.8125,5.75,3.8125,4.9375,2.5,1.0,2,,
27,28,F,26.0,2,Speech Languahe Pathology,Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.625,7.4375,7.25,6.375,6.625,25.4375,6.5625,1,8,4.266666666666667,5.966666666666667,6.433333333333334,4.966666666666667,5.233333333333333,3.7333333333333334,3.0,3,,
28,29,F,22.0,2,Social Work,Caucasian,4.0,5.0,Fun,6.0,1.0,Social Work Administration,8.0,9.0,7.0,7.0,7.0,6.0,2.0,2.0,7.0,7.0,7.0,5.0,7.0,6.0,8.0,9.0,5.0,4.0,20.0,22.0,18.0,15.0,15.0,,,,,,,35.0,15.0,10.0,20.0,15.0,5.0,6.0,9.0,7.0,8.0,8.0,,,,,,,,,,,,,,,,5.75,7.2,6.533333333333333,6.133333333333334,6.533333333333333,25.4375,5.9375,2,3,6.3125,7.1875,6.5625,5.0625,6.2,6.1875,3.0,9,0.0,1.0
29,30,F,23.0,2,Law,Caucasian,2.0,4.0,Fun,7.0,2.0,Lawyer,5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0,2.0,10.0,20.0,20.0,20.0,20.0,,,,,,,35.0,5.0,15.0,20.0,10.0,15.0,7.0,8.0,8.0,9.0,8.0,,,,,,,,,,,,,,,,6.0625,6.866666666666666,7.333333333333333,6.266666666666667,7.285714285714286,25.4375,5.733333333333333,2,4,5.6875,6.625,6.8125,5.75,6.6875,7.0625,1.0,4,,
30,31,F,24.0,2,law,Caucasian,4.0,8.0,Fun,4.0,3.0,law,3.0,3.0,7.0,10.0,7.0,7.0,7.0,2.0,6.0,6.0,8.0,8.0,8.0,6.0,7.0,10.0,6.0,4.0,35.0,10.0,20.0,20.0,10.0,,,,,,,40.0,10.0,10.0,25.0,5.0,10.0,8.0,8.0,8.0,9.0,9.0,,,,,,,,,,,,,,,,7.875,7.25,7.4375,6.5,7.6,25.4375,7.0,4,13,5.3125,6.25,6.625,5.5625,6.375,6.066666666666666,3.0,4,0.0,1.0
31,32,F,27.0,2,Psychology,Asian,1.0,1.0,Fun,4.0,2.0,Professor,4.0,1.0,5.0,9.0,5.0,5.0,1.0,2.0,4.0,9.0,6.0,6.0,7.0,5.0,8.0,10.0,9.0,0.0,50.0,0.0,50.0,0.0,0.0,,,,,,,95.0,0.0,0.0,5.0,0.0,0.0,7.0,5.0,9.0,9.0,7.0,,,,,,,,,,,,,,,,6.933333333333334,7.8,8.2,7.2,7.466666666666667,25.4375,6.75,0,9,6.25,7.4375,7.8125,7.357142857142857,7.733333333333333,6.375,0.0,0,0.0,0.0
32,33,F,30.0,2,Educational Psychology,Caucasian,4.0,8.0,Other,6.0,1.0,Clidren s TV,4.0,6.0,10.0,7.0,8.0,6.0,6.0,8.0,6.0,10.0,10.0,8.0,8.0,6.0,6.0,7.0,9.0,0.0,30.0,20.0,30.0,10.0,0.0,,,,,,,95.0,1.0,1.0,1.0,1.0,1.0,6.0,8.0,8.0,6.0,8.0,,,,,,,,,,,,,,,,6.0,7.8125,8.0625,6.8125,7.266666666666667,25.4375,6.3125,0,4,6.1875,6.875,6.8125,5.4375,6.875,5.8125,1.0,5,0.0,0.0
33,34,F,21.0,2,Applied Maths/Econs,Asian,2.0,2.0,Fun,6.0,2.0,Banking,7.0,6.0,6.0,7.0,4.0,4.0,5.0,4.0,7.0,7.0,6.0,9.0,10.0,7.0,7.0,7.0,7.0,5.0,30.0,5.0,30.0,15.0,15.0,,,,,,,20.0,20.0,25.0,20.0,5.0,10.0,7.0,7.0,7.0,7.0,8.0,,,,,,,,,,,,,,,,7.1875,7.3125,7.333333333333333,6.866666666666666,7.25,25.4375,6.8125,2,11,4.5,4.6875,5.6875,4.5625,5.5625,5.0625,2.0,2,,
34,35,F,25.0,2,Mathematics,Caucasian,9.0,7.0,Fun,6.0,3.0,Capital Markets,9.0,7.0,9.0,8.0,8.0,8.0,5.0,6.0,9.0,7.0,9.0,8.0,8.0,7.0,7.0,8.0,3.0,8.0,20.0,23.0,23.0,22.0,7.0,,,,,,,40.0,10.0,15.0,15.0,10.0,10.0,8.0,9.0,9.0,9.0,7.0,,,,,,,,,,,,,,,,7.3125,6.533333333333333,7.866666666666666,5.571428571428571,7.2,25.4375,6.2,5,11,6.4375,7.9375,8.1875,7.625,7.4375,7.3125,10.0,8,,
35,36,F,26.0,2,Statistics,Caucasian,7.0,8.0,Meet people,5.0,2.0,Biostatistics,6.0,1.0,4.0,6.0,7.0,7.0,7.0,1.0,3.0,9.0,1.0,9.0,6.0,6.0,7.0,5.0,1.0,8.0,20.0,25.0,20.0,15.0,15.0,,,,,,,40.0,5.0,10.0,30.0,5.0,10.0,8.0,7.0,8.0,8.0,6.0,,,,,,,,,,,,,,,,6.25,7.0,7.133333333333334,6.066666666666666,7.133333333333334,25.4375,6.066666666666666,2,8,2.9375,3.5,4.6875,2.9375,4.9375,3.375,0.0,3,,
36,37,F,27.0,2,Organizational Psychology,Caucasian,5.0,8.0,Meet people,6.0,2.0,Organizational Change Consultant,6.0,4.0,6.0,10.0,9.0,8.0,7.0,6.0,7.0,5.0,6.0,10.0,7.0,8.0,7.0,4.0,9.0,3.0,10.0,10.0,30.0,25.0,10.0,,,,,,,30.0,10.0,15.0,20.0,10.0,15.0,7.0,8.0,9.0,7.0,5.0,,,,,,,,,,,,,,,,4.933333333333334,6.866666666666666,7.4,5.666666666666667,6.4,25.4375,5.666666666666667,2,3,5.0625,5.0,6.4375,5.375,5.0625,4.625,6.0,9,0.0,0.0
37,38,F,23.0,2,Law,African American,8.0,1.0,Fun,4.0,3.0,law,7.0,2.0,7.0,10.0,2.0,2.0,7.0,4.0,7.0,2.0,8.0,8.0,10.0,10.0,10.0,10.0,2.0,12.0,50.0,10.0,20.0,10.0,10.0,,,,,,,70.0,5.0,5.0,15.0,0.0,5.0,8.0,2.0,8.0,7.0,8.0,,,,,,,,,,,,,,,,6.533333333333333,7.533333333333333,7.733333333333333,7.6,7.714285714285714,25.4375,6.8,3,7,5.6875,7.5,8.375,5.625,7.4375,5.8125,3.0,4,,
38,39,F,24.0,2,Law,Hispanic,6.0,4.0,Say I did it,6.0,4.0,lawyer,3.0,2.0,4.0,10.0,10.0,8.0,7.0,1.0,5.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,1.0,5.0,20.0,20.0,20.0,15.0,15.0,,,,,,,55.0,5.0,10.0,15.0,5.0,10.0,6.0,9.0,8.0,6.0,7.0,,,,,,,,,,,,,,,,4.333333333333333,7.333333333333333,6.866666666666666,7.266666666666667,6.2,25.4375,6.066666666666666,1,2,5.25,6.5,8.0625,6.375,6.9375,5.71875,3.0,8,0.0,0.0
39,40,M,25.0,2,Operations Research,Asian,9.0,6.0,Meet people,7.0,7.0,tech professional,4.0,9.0,3.0,7.0,7.0,8.0,5.0,7.0,9.0,7.0,5.0,5.0,8.0,8.0,10.0,4.0,2.0,2.0,25.0,20.0,25.0,20.0,10.0,,,,,,,40.0,0.0,30.0,20.0,10.0,0.0,3.0,10.0,9.0,8.0,5.0,,,,,,,,,,,,,,,,4.105263157894737,6.631578947368421,6.473684210526316,5.947368421052632,6.0,24.42105263157895,5.2631578947368425,0,4,6.052631578947368,8.0,7.578947368421052,7.315789473684211,6.526315789473684,3.210526315789474,0.0,0,,
40,41,M,30.0,2,law,Asian,1.0,1.0,Meet people,6.0,5.0,law,5.0,5.0,6.0,5.0,5.0,5.0,5.0,10.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,3.0,30.0,20.0,10.0,30.0,0.0,,,,,,,40.0,30.0,0.0,30.0,0.0,0.0,5.0,7.0,8.0,5.0,5.0,,,,,,,,,,,,,,,,3.6842105263157894,6.473684210526316,6.666666666666667,4.0,6.631578947368421,24.42105263157895,4.666666666666667,0,0,7.105263157894737,6.842105263157895,7.105263157894737,7.105263157894737,6.842105263157895,6.428571428571429,,6,,
41,42,M,23.0,2,Mechanical Engineering,Asian,1.0,6.0,Meet people,7.0,4.0,Engineer,1.0,1.0,7.0,5.0,3.0,3.0,3.0,1.0,1.0,9.0,8.0,5.0,7.0,2.0,5.0,2.0,1.0,3.0,20.0,25.0,20.0,15.0,10.0,,,,,,,25.0,10.0,10.0,30.0,5.0,20.0,6.0,9.0,8.0,6.0,4.0,,,,,,,,,,,,,,,,4.947368421052632,6.052631578947368,6.888888888888889,5.7368421052631575,6.777777777777778,24.42105263157895,5.473684210526316,0,4,5.368421052631579,8.421052631578947,8.105263157894736,6.684210526315789,7.684210526315789,5.631578947368421,1.0,4,0.0,0.0
42,43,M,24.0,2,Economics,Caucasian,1.0,1.0,Other,6.0,3.0,Academic,8.0,9.0,6.0,5.0,7.0,7.0,2.0,5.0,5.0,9.0,6.0,7.0,4.0,6.0,5.0,2.0,1.0,1.0,25.0,35.0,30.0,10.0,0.0,,,,,,,20.0,25.0,20.0,20.0,5.0,10.0,3.0,8.0,7.0,3.0,2.0,,,,,,,,,,,,,,,,4.2631578947368425,6.368421052631579,6.947368421052632,4.631578947368421,6.333333333333333,24.42105263157895,4.842105263157895,1,3,5.0,5.2631578947368425,6.105263157894737,4.526315789473684,5.578947368421052,5.157894736842105,0.0,7,0.0,0.0
43,44,M,24.0,2,Psychology,Caucasian,3.0,3.0,Fun,3.0,1.0,academia,9.0,1.0,8.0,7.0,8.0,8.0,10.0,6.0,7.0,8.0,1.0,7.0,3.0,8.0,1.0,6.0,8.0,5.0,25.0,15.0,25.0,25.0,15.0,,,,,,,50.0,5.0,15.0,20.0,5.0,5.0,7.0,9.0,9.0,8.0,9.0,,,,,,,,,,,,,,,,4.894736842105263,6.631578947368421,6.7894736842105265,4.611111111111111,5.894736842105263,24.42105263157895,5.0,4,4,7.0,6.526315789473684,6.7894736842105265,6.5,6.578947368421052,7.368421052631579,3.0,19,1.0,0.0
44,45,M,28.0,2,Finance,Caucasian,6.0,6.0,Meet people,6.0,3.0,banker / academia,9.0,7.0,3.0,6.0,8.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,3.0,7.0,25.0,15.0,25.0,15.0,0.0,,,,,,,20.0,20.0,20.0,10.0,10.0,20.0,7.0,8.0,8.0,6.0,7.0,,,,,,,,,,,,,,,,5.2105263157894735,6.2105263157894735,6.894736842105263,3.7777777777777777,6.526315789473684,24.42105263157895,5.052631578947368,4,4,7.0,6.894736842105263,6.894736842105263,6.578947368421052,6.526315789473684,6.842105263157895,9.0,17,0.0,0.0
45,46,M,26.0,2,Finanace,Caucasian,2.0,3.0,Meet people,6.0,2.0,banker,10.0,7.0,5.0,6.0,7.0,7.0,8.0,3.0,7.0,7.0,4.0,4.0,6.0,5.0,6.0,2.0,7.0,8.0,20.0,35.0,20.0,10.0,10.0,,,,,,,20.0,20.0,20.0,25.0,5.0,10.0,7.0,8.0,7.0,5.0,7.0,,,,,,,,,,,,,,,,7.631578947368421,6.7894736842105265,7.315789473684211,6.777777777777778,6.294117647058823,24.42105263157895,6.7631578947368425,4,9,7.157894736842105,7.7368421052631575,7.684210526315789,7.7894736842105265,7.7894736842105265,7.7631578947368425,4.0,9,1.0,0.0
